;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
425;fondre;;;;;;;;;;;;;;;;;fôdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;forcer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fOrs;;;;fOrs;;;;;;;;;;
427;former;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fOrm;;;;;fOrmE;;;;;;
428;forniquer;;;;;;;;;;;;;;;;fOrnikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;fouetter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fwEtE;;;;;;
430;fouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fujE;;;;;;
431;fouler;;;;;;;;;;;;;;;;;fulE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;fournir;;;;;;;;;;;;;;;;;;;;;;;furni;;;;;;;;;;;;;;;;;;;;;;;
433;fourrer;;;;;;;;;;;;;;;;;;;;;;;;furâ;;;;;;;;fur;;;;;;;;;;;;;;
434;foutre;;;;;;;;;;;;;;;;;futr;;;;;futE;;;;;;;;;;fu;;fu;fut;;;;;futy;;;;;;
435;franchir;;;;frâSi;;;;;;;;;;;;;frâSir;;;;;;;;;;;;;;;;;;;frâSi;;;;;;;;;;
436;frapper;;;;;;;;;;frap6ra;;;;;;;;;;;frapô;;frap;frapâ;;;;;;;;frap;;;;;;;;frapE;;frap;;;;
437;frissonner;;;;;;;;;;;;;;;;;frisOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;froisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frwas;;;frwasE;;;;;;;;;
439;frotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frOt;;;;frOt;;;;;;frOt;;;;
440;frémir;;;frEmir;;;;;;;;;;;;;;frEmir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;fréquenter;;;;;;;;;;;;;;;;;;;;;;;frEkât;;;;;;;;;;;;;;;;;;;;;;;
442;fuir;;;;fHi;;;;;;;;;;;;;fHir;fHis;;;;;;fHijâ;;;;;;;;;;;;;;;fHi;fHi;;;;;;
443;fumer;;;;;;;;;;;;;;;;;fymE;;;;;;fym;;;;;;;;;;;;;;;;;;;;;;;
444;fâcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;faS;;;;;;;;;;
445;féliciter;;;;fElisita;;;;;;;;;;;;;fElisitE;;;;;;fElisit;;;;;;;;;;;;;;;;;;;;;;;
446;gagner;;;;;;;;;;;;;;;;;gaJE;;;;;;gaJ;;;;;;;;;gaJ;;gaJ;;;;;;;;;;;;
447;ganter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gâtE;;;;;;;;
448;garder;;;;;;;;;;;;;;;;;gardE;;;;;gardE;gard;gardâ;;;;;;;;gard;gardE;;;;;;;gardE;;gard;;gard;;gard
449;garrotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;garOt;;;;;;;;;;;;;;
450;gazer;;;;;;;;;;;;;;;;;;;;;;;gaz;;;;;;;;;;;;;;;;;;;;;;;
451;geler;;;;;;;;;;;;;;;;Z6lE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;glacer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;glasE;;;;;;;;;
453;glisser;;;;;;;;;;;;;;;;glisE;;;;;;;glis;;;;;;;;;;;;;glis;;;;;;;;;;
454;gommer;;;;;;;;;;;;;;;;;;;;;;;;gOmâ;;;;;;;;;;;;;;;;;;;;;;
455;gonfler;;;;;;;;;;;;;;;;;;;;;;;gôfl;;;;;;;;;;;;;;gôflE;;;;;;;;;
456;goutter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gut;;;;;;;;;;;;;;
457;grandir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grâdi;;grâdi;;;;grâdi;;;;;;
458;graver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gravE;;;;;;;;;
459;gravir;;;;;;;;;;;;;;;;;gravir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460;grelotter;;;;;;;;;;;;;;;;;;;;;;;;gr6lOtâ;;;;;;;;;;;;;;;;;;;;;;
461;grogner;;;;grOJa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462;guetter;;;;;;;;;;;;;;;;;;;;;;;gEt;;;;;;;;;gEt;;;;gEt;;;;;;;;;;
463;gueuler;;;;;;;;;;;;;;;;g6lE;;;;;;;;;;;;;;;;g9l;;;;;;;;;;;;;;
464;guider;;;;;;;;;;;;;;;;;;;;;;;gid;;;;;;;;;;;;;;;;;gidE;;;;;;
465;guérir;;;;;;;;;;gErira;;;;;;;gErir;;;;;;;;;;;;;;;;;;;;;;;gEri;;;;;;
466;gâcher;;;;;;;;;;;;;;;;;gaSE;;;;;;;;;;;;;;;;;;;;;;;gaSE;;;;;;
467;gémir;;;;;;;;;;;;;;;;ZEmisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;gérer;;;;;;;;;;;;;;;;;ZErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;gêner;;;;;;;;;;;;;;;;;;;;;;;ZEn;;;;;;;;;ZEn;;;;;;;;ZEnE;;;;;;
470;habiller;;;;;;;;;;;;abijE;;;;;;;;;;abijE;;;;;;;;;;;;;;abij;;;;;;;;;;
471;habiter;;;;;;;;;;;;;;;abitE;;;;;;;abitE;abit;;;;;;;;;abit;;;;;;;;;;;;;;abit
472;habituer;;;;;;;;;;;;;;;;;;;;;;;abity;;;;;;;;;;;;;;;;;;;;;;;
473;hanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtE;;;;;;
474;harper;;;;;;;;;;;;;;;;;arpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;hausser;;;;Osa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;haïr;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;E;;;;;;;;;;;;
477;hisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;is;;;;;;;;;;;
478;hocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OS;;;;;;;;;;;;;;
479;hospitaliser;;;;;;;;;;;;;;;;;OspitalizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;hurler;;;;;;;;;;;;;;;;;yrlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;hypothéquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ipOtEk;;;;;;;;;;;;;;
482;hâter;;;;;;;;;;;;;;;;;;;;;;;at;;;;;;;;;;;;;;;;;;;;;;;
483;hésiter;;;;;;;;;;;;;;;;;EzitE;;;;;;;;;;;;;;;Ezit;EzitE;;;Ezit;;;;;;;;;;
484;identifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;idâtifi;;;;
485;ignorer;;;;;;;;;;;;;;iJOrE;iJOrE;;iJOrE;;;;;;iJOr;;;;;;;;;iJOr;;;;iJOr;;;;;;;;;;
486;illuminer;;;;;;;;;;;;;;;;ilyminE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;illustrer;;;;;;;;;;;;;;;;ilystrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;imaginer;;;;;;;;;;;;imaZinE;;;;;imaZinE;;;;;;imaZin;;;;;;;;;imaZin;;;;imaZin;;;;;;imaZin;;imaZin;;imaZin
489;imiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imit;;;;;;;;;;
490;immatriculer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imatrikylE;;;;;;;;
491;implorer;;;;;;;;;;;;;;;;êplOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;importer;;;;;;;;;;;;;;;;;;;;;;;êpOrt;;;;;;;;;êpOrt;;;;êpOrt;;;;;;;;;;
493;imposer;;;;êpOza;;;;;;;;;;;;;;;;;;;êpOz;;;;;;;;;;;;;;;;;;;;;;;
494;impressionner;;;;;;;;;;;;;;;;;êprEsjOnE;;;;;;;;;;;;;;;êprEsjOn;;;;;;;;;;;;;;
495;indigner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êdiJE;;;;;;;
496;indiquer;;;;;;;;;;;;;;;;êdikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497;infliger;;;;;;;;;;;;;;;;;êfliZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;infléchir;;;;;;;;;;;;;;;;;êflESir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;injurier;;;;;;;;;;;;;;;;;êZyrjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;inonder;;;;;;;;;;;;;;;;inôdE;;;;;;;;;;;;;;;;inôd;;;;;;;;;;;;;;
501;inquiéter;;;;;;;;;;;;;;;;;;;;;;êkjEtE;êkjEt;;;;;;;;;êkjEt;;;;êkjEt;;;;;;êkjEt;;;;êkjEt
502;inscrire;;;;;;;;;;;;;;;;;êskrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503;insister;;;;;;;;;;;;;;;;;êsistE;;;;;;;;;;;;;;;êsist;;;;êsist;;;;;;;;;;
504;inspecter;;;;;;;;;;;;;;;;;êspEktE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
505;inspirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êspir;;;;;;;;êspirE;;;;;;
506;installer;;;;;;;;;;;;;;;;êstalE;;;;;;;;;;;;;;;;;;;;êstal;;êstalE;êstalE;êstalE;;;;;;
507;instruire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êstrHi;;;;;;;;;;
508;interdire;;;;;;;;;;;;;;;;;;;;;;;;êtErdizâ;;;;;;;;;;;;;;êtErdit;;êtErdi;;;;;;
509;interner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtErnE;;;;;;;;
510;interroger;;;;;;;;;;;;;;;;;êtErOZE;;;;;;êtErOZ;;;;;;;;;;;;;êtErOZ;;;;;;;;;;êtErOZ
511;intimider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtimidE;;;;;;
512;intriguer;;;;;;;;;;;;;;;;;êtrigE;;;;;;êtrig;;;;;;;;;;;;;;;;;;;;;;;
513;introduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtrOdHi;;;;;;;;;;
514;intéresser;;;êtErEsEr;;;;;;;;;;;;;êtErEsE;;;;;;;êtErEs;;;;;;;;;êtErEs;;;;êtErEs;;;;;;êtErEs;;;;êtErEs
515;inventer;;;;;;;;;;;;;;;;;;;;;;;êvât;;;;;;;;;êvât;;;;;;;;êvâtE;;;;;;
516;inverser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êvErsE;;;;;;;
517;inviter;;;;êvita;;;;;;;;;;;;;;;;;;;êvit;;;;;;;;;êvit;;;;;;;;;;êvit;;;;
518;irriter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;irit;;;;;;;;;;;
519;jacasser;;;;;;;;;;;;;;;;;ZakasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;jauger;;;;;;;;;;;;;;;;ZOZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;jeter;;;;Z6ta;;;;;;;;;;;;;Z6tE;;;;;;ZEt;Z6tâ;;;;;;;;;;;;ZEt;;Z6tE;;;;ZEt;;;ZEt;ZEt
522;joindre;;;;;;;;;;;;;;;;;Zwêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
523;jouer;;;;;;;;;;;;ZuE;;;;ZuE;ZuE;;;;;;Zu;;;;;;;;Zuô;Zu;;Zu;;Zu;;;;ZuE;;;;Zu;;Zu
524;jubiler;;;;;;;;;;;;;;;;ZybilE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;juger;;;;;;;;;;;;;;;;;ZyZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;jurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zyr6rE;;;;Zyr;;;;Zyr;;;;;;Zyr;;;;
527;laisser;;;;lEsa;;lEs6rE;;;;lEs6ra;;;;;;;lEsE;;;;lEsô;lEsE;lEs;;;;;;;;;lEs;lEsE;lEs;lEs;lEs;;;;lEsE;;lEs;;lEs;;lEs
528;lancer;;;;;;;;;;;;;;;;lâsE;lâsE;;;;lâsô;;;;;;;;;;;lâs;;;;lâs;;;;;;;;;;
529;languir;;;;;;;;;;;;;;lâgisE;;;;;;;;;;;;;;;;;;;;lâgi;;;;;;;;;;;;
530;lasser;;;;;;;;;;;;;;;;;lasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;laver;;;;;;;;;;;;;;;;;;;;;;;lav;;;;;;;;;;lavE;lav;;;;;;;;;;;;lav
532;lever;;;l6vEr;;;;;;;;;;;;l6vE;l6vE;l6vE;;;;;;lEv;l6vâ;;;;;;;;lEv;;;;lEv;;l6vE;;;;lEv;;;;
533;libérer;;;;;;;;;;;;;;;;;;;;;libErô;;;;;;;;;;;;;;;;;libErE;;libErE;;;;;;
534;licencier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lisâsjE;;;;;;;;
535;lier;;;;;;;;;;;;;;;;;ljE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;ligoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ligOt;;;;ligOt;;;;;;;;;;
537;lire;;;;;;;;;;;;;;;;;lir;;;;;;li;;;;;;;;;li;;;;li;;;;ly;;;;;;
538;livrer;;;;;;;;;;;;;;;;;livrE;;;;;;livr;;;;;;;;;livr;;;;;;;livrE;;;;;;;livr
539;localiser;;;;;;;;;;;;;;;;;lOkalizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;loger;;;;;;;;;;;;;;;;lOZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;longer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lôZ;;;;;;;;;;
542;louper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lup;;;;;;;;;;
543;luire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lHi;;;;;;;;;;;;;;
544;lutter;;;;;;;;;;;;;;;;;;;;;;;lyt;;;;;;;;;;;;;;;;;;;;;;;
545;lâcher;;;;;;;;;;;;;;;laSE;;laSE;;;;;laSE;laS;;;;;;;;;laS;laSE;;;laS;;;;;;;;;;laS
546;maintenir;;;;;;;;;;;;;;;;;;;;;;;;mêt6nâ;;;;;;;;;;;;mêtjê;;;;;;;;;;
547;malaxer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;malaks;;;;malaks;;;;;;;;;;
548;mander;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mâd;;;;;;;;;;
549;manger;;;;;;mâZ6rE;;;;;;;;;;;mâZE;;;;;mâZE;mâZ;;;;;;;;;;;;mâZ;;;;;mâZE;;;;;;
550;manquer;;;;;;;;;;;;;;;mâkE;;mâkE;;;;;;;;;;;;;;;mâk;;;mâk;mâk;;;;;;;;;;
551;marcher;;;;;;;;;;;;marSE;;;;marSE;marSE;;;;;marSE;marS;;;;;;;marS6rE;;;;;marS;marS;;;;;;;;;;marS
552;marier;;;;;;;;;;;;;;;;;marjE;;;;;;;;;;;;;;;;;;;;;marjE;marjE;marjE;;;;;;mari
553;marquer;;;;;;;;;;;;;;;;;markE;;;;;;;;;;;;;;;;;;;;;;;markE;;;;;;
554;mater;;;;;;;;;;;;matE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;matérialiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;matErjaliz;;;;;;;;;;
556;maudire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOdi;;;;;;;;;;;;;;
557;maîtriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEtrizô;;;;;;;;;;;;;;;
558;menacer;;;;;;;;;;;;;;;;;;;;;;;m6nas;;;;;;;;;m6nas;;;;;m6nasE;;;;;;;;;
559;mener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEn;;;;m6nE;;;;;;
560;mentir;;;;;;;;;;;;;;;;;;;;;;;mâ;;;;;;;;;;;;;;;;;;;;;;;
561;mesurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m6zyr;;;;;;;;;;;
562;mettre;mi;mi;;mi;;;;;;;;;;;mEtE;;mEtr;;;;;mEtE;mE;;;;;;;mEtrE;;mE;mEtE;mE;;mE;;;;;;mEt;;;mEt;mEt
563;mijoter;;;;;;;;;;;;;;;;;miZOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;modifier;;;;;;;;;;;;;;;;;mOdifjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;monter;;;;;;;;;;;;;;;;môtE;môtE;;;;;;môt;;;;;;;;;môt;;;;môt;môtE;;;;;;;;;môt
566;montrer;;;;môtra;;;;;;;;;;;;;môtrE;;;;môtrô;;môtr;;;;;;;;;môtr;môtrE;;môtr;môtr;;;;môtrE;;;;;;môtr
567;moquer;;;;;;;;;;;;;;;;;;;;;;;mOk;;;;;;;;;;;mOk;;;;;;;;;;;;
568;mordre;;;;;;;;;;;;;;mOrdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;motiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOtiv;;;;;;;;;;;;;;
570;mouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mujE;;;;;;;;
571;mourir;;;;;;;;;;;;;;;;;murir;;;;;;;;;;;;;;;m9r;;;;;;mOrt;;mOr;;m9r;;;;
572;murmurer;;;;;;;;;;;;;;;;;;;;;;;;myrmyrâ;;;;;;;;;;;;;;;;;;;;;;
573;méfier;;;;;;;;;;;;;;;;;;;;;;mEfjE;;;;;;;;;;;;;;;;;;;;;;;;
574;mélanger;;;;;;;;;;;;;;;;;mElâZE;;;;;;mElâZ;;;;;;;;;;;;;;;;;;;;;;;
575;méprendre;;;;;;;;;;;;;;;;;mEprâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;mépriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEpriz;;;;;;;;;;;;;;
577;mériter;;;;;;;;;;;;;;;;mEritE;;;;;;;mErit;;;;;;;;;mErit;;;mErit;;;;;;;mErit;;;;
578;mêler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEl;;;;;;mEl;;;;
579;navrer;;;;;;;;;;;;;;;;;;;;;;;navr;;;;;;;;;;;;;;;;;;;;;;;
580;naître;;;;;;;;;;;;;;;;;nEtr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;nettoyer;;;;;;;;;;;;;;;;;nEtwajE;;;;;;;;;;;;;;;;;;;nEtwa;;;;;;;;;;nEtwa
582;nier;;;;;;;;;;;;;;;;;;;;;;;ni;;;;;;;;;;;;;;;;;;;;;;;
583;nommer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nOmE;;;;;;
584;noter;;;;;;;;;;nOt6ra;;;;;;;;;;;;;;;;;;;;;;;;;;nOt;;;;;;;;;;
585;nourrir;;;;;;;;;;;;;;;;;nurir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;noyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nwajE;;;;;;;
587;obliger;;;;;;;;;;;;;;;;;;;;;;;ObliZ;;;;;;;;;ObliZ;;;;;;;ObliZE;;;;;;;
588;obliquer;;;;Oblika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;observer;;;;ObsErva;;;;;;;;ObsErvE;;;;;;;;;;;ObsErv;;;;;;;;;ObsErv;;;;;;;ObsErvE;;;;;;;ObsErv
590;obséder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ObsEdE;;;;;;;;
591;occuper;;;;Okypa;;Okyp6rE;;;Okyp6rô;;;;;;;;OkypE;;;;;;Okyp;;;;;;;;;Okyp;;;;Okyp;;;OkypE;;;Okyp;;;;Okyp
592;officier;;;;;;;;;;;;;;;;;OfisjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;offrir;;;;;;;;;;;;;;;;;Ofrir;;;;;;Ofr;;;;;;;;;Ofr;;;;;;;;OfEr;;Ofr;;;;Ofr
594;opposer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OpOzE;;;;;;;
595;ordonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OrdOn;;;;;;;;;;
596;organiser;;;;;;;;;;;;;;;;;OrganizE;;;;;;;;;;;;;;;;;;;;;;;OrganizE;;;;;;
597;oser;;;;Oza;;;Oz6rE;;;;;;;;;;OzE;;;;;;;;;;;;;;;;;Oz;;Oz;;;;OzE;;;;;;
598;oublier;;;;;;;ublirE;;;;;;;;;ubliE;ubliE;;;;;ubliE;ubli;;;;;ublirE;;;;ubli;;;;ubli;ubliE;;;ubliE;;ubli;;ubli;;ubli
599;ouvrir;;;;uvri;;;;;;;;;;;;;uvrir;;;;;;uvr;;;;;;;;;uvr;;;;uvr;;uvErt;;;;;;;;uvr
600;paillarder;;;;;;;;;;;;;;;;pajardE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;paraître;;;;;;;;;;parEtra;;;;;parEsE;;;;;;;;;;;;;;;;;;;;;parE;;;;;;;;;;
602;pardonner;;;;;;pardOn6rE;;;;;;;;;;;pardOnE;;;;;;;;;;;;;;;pardOn;;;;pardOn;;;;;;;;;;
603;parfaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parfE;;parfEt;;parfE;;;;;;
604;parier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pari;;;;;;;;;;
605;parler;;;;parla;;;parl6rE;;;;;;;;parlE;parlE;parlE;;;;parlô;parlE;parl;;;;;;;parl6rE;;parl;parlE;parl;;parl;;;;parlE;;parl;;;;parl
606;partager;;;;;;partaZ6rE;;;;;;;;;;;partaZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
607;partir;parti;parti;;parti;;partirE;;;;;;;;;;partE;partir;;;;partô;partE;par;partâ;;;;;;;;par;partE;par;;par;;parti;;parti;;part;;;;part
608;parvenir;;;;parvê;;;;;;;;;;;;;parv6nir;;;;parv6nô;;;;;;;;;;;;;;;parvjê;;;;;;;;;;
609;passer;;;pasEr;pasa;;;;;;;;;;;;pasE;pasE;;;;;pasE;pas;pasâ;;;;;;;;pas;pasE;;pas;pas;;;pasE;pasE;;pas;;;;pas
610;patienter;;;;pasjâta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pasjât;;;;;;;;;;
611;patiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;patin;;;;;;;;;;
612;payer;;;;;;;;;;;;;;;;pEjE;pEjE;;;;;;pE,pEj;;;;;;;;;pE,pEj;;;;pEj;;pEjE;pEjE;;;pE,pEj;;;;pE
613;peindre;;;;;;;;;;;;;;;;;pêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;pencher;;;;pâSa;;;;;;;;;;;;;pâSE;;;;;;;;;;;;;;;;;;;pâS;;;;;;;;;;
615;pendre;;;;;;;;;;;;;;;pâdE;;;;;;;;;;;;;;;;;;;;;;;;pâdy;;;;;;;
616;penser;;;;;;;;;;;;pâsE;;pâsE;;pâsE;pâsE;;;pâsa;;pâsE;pâs;pâsâ;;;;;;;pâsô;pâs;pâsE;pâs;pâs;pâs;;;;pâsE;;pâs;;pâs;;pâs
617;perdre;;;;;;;;;;;;;;;;;pErdr;;;;;;pEr;pErdâ;;;;;;;;pEr;;;;;;;;pErdy;;pErd;;;;
618;permettre;;;;;;;;;pErmEtrô;;;;;;;;pErmEtr;;;;;pErmEtE;pErmE;;;;;;;pErmEtrE;;;pErmEtE;pErmE;;;;;;;;;;;;
619;persuader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErsyadE;;;;;;
620;peser;;;;;;;;;;;;;;;;p6zE;;;;;;;pEz;;;;;;;;;;;;;;;;;;;;;;;
621;peupler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;p6plE;;;;;;
622;picoler;;;;;;;;;;;;;;;;;pikOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;piger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;piZ;;
624;pinailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pinaj;;;;;;;;;;
625;piquer;;;;pika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pik;;;;;;;;;;
626;pisser;;;;;;;;;;;;;;;;;;;;;;;pis;;;;;;;;;;;;;pis;;;;;;;;;;
627;piétiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pjEtin;;;pjEtinE;;;;;;;
628;placer;;;;;;;;;;;;;;;;;plasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;plaindre;;;;;;;;;;;;;;;;;;;;;;;plê;;;;;;;;;;;plê;;plê;;;;plê;;;;;;
630;plaire;;;;;;;;;;;;;;;;plEzE;;;;;;;;;;;;;;;;;;;;plE;;;;;;;;;;
631;plaisanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plEzât;;;;;;;;;;;;;;plEzât
632;planquer;;;;;;;;;;;;;;;;;plâkE;;;;;;;;;;;;;;;;plâkE;;;plâk;;;;plâkE;;;;;;
633;planter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plâtE;plâtE;;;;;;
634;plaquer;;;;plaka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
635;pleurer;;;;;;;;;;;;;;;;;pl6rE;;;;;;;;;;;;;;;pl9r;;;;pl9r;;;;;;;;;;pl9r
636;plisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plisE;;;;;;;;
637;plonger;;;;;;;;;;;;;;;;;plôZE;;;;;;plôZ;;;;;;;;;;;;;;;;;plôZE;;;;;;
638;ployer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plwajE;;;;;;
639;pointer;;;;;;;;;;;;;;;;;pwêtE;;;;;;pwêt;;;;;;;;;pwêt;;;pwêt;pwêt;;;;;;;;;;
640;polir;;;;;;;;;;;;;;;;;pOlir;;;;;;;;;;;;;;;;;;;;;;;pOli;;;;;;
641;polluer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOlyE;;;;;;
642;porter;;;;;;;;;;;;;;pOrtE;;pOrtE;pOrtE;;;;;;pOrt;;;;;;;;;pOrt;;;;pOrt;;;;pOrtE;;pOrt;;;;pOrt
